"tm","id_team","tm_bref","tmGm","abb","abbRm","abbGm","logo","color","tshirt","pants"
"Río Breogán",25,"Rio Breogan","Rio Breogan","BRE","BRE","BRE","https://static.acb.com/logos/1718/breogan_00.png","#85ADEA","#69b3e7","#69b3e7"
"Gran Canaria",5,"Herbalife Gran Canaria","Gran Canaria","GCA","GCA","GCN","https://static.acb.com/img/2/58/5b/75611.png","#FFB718","#F1D070","#F1D070"
"Casademont Zaragoza",16,"Casademont Zaragoza","Casademont Zaragoza","CAZ","ZAR","ZAR","https://static.acb.com/img/3a/16/1c/logo_zza_2020.png","#C8102E","#CE0235","#CE0235"
"Coosur Real Betis",15,"Coosur Real Betis","Coosur Real Betis","BET","BET","BETIS","https://static.acb.com/img/46/40/26/1453165585.png","#058E48","#008a59","#000000"
"Monbus Obradoiro",57,"Monbus Obradoiro","Monbus Obradoiro","MOB","OBR","OBR","https://static.acb.com/img/www/clubes2021/NuevoObradoiro-Positivo.png","#4A96C4","#002554","#002554"
"Barça",2,"FC Barcelona Lassa","Barca","BAR","FCB","FCB","https://static.acb.com/img/17/3/2f/1450925111.png","#154284",NA,NA
"UCAM Murcia",12,"UCAM Murcia","UCAM Murcia CB","UCM","MUR","MUR","https://static.acb.com/img/14/31/34/75635.png","#A51A14","#E1203D","#E1203D"
"Urbas Fuenlabrada",17,"Montakit Fuenlabrada","Urbas Fuenlabrada","URF","FUE","MON","https://static.acb.com/img/www/clubes2021/Urbas-Fuenlabrada_pos.png","#0085CA","#ffffff","#f5f5f5"
"Hereda San Pablo Burgos",549,"Hereda San Pablo Burgos","Hereda San Pablo Burgos","BUR","BUR","SPB","https://static.acb.com/img/8/10/34/28481534921.png","#00669E","#056DD6","#056DD6"
"BAXI Manresa",10,"Baxi Manresa","BAXI Manresa","BAX","MAN","MAN","https://static.acb.com/img/31/9/2f/75632.png","#D5001E","#EF1516","#EF1516"
"Valencia Basket",13,"Valencia Basket","Valencia Basket","VBC","VBC","VAL","https://static.acb.com/img/47/40/46/75641.png","#FC6C0F","#D7623E","#D7623E"
"Joventut Badalona",8,"Divina Seguros Joventut","Joventut Badalona","CJB","JOV","JOV","https://static.acb.com/img/e/53/16/1453195579.png","#2F8E62","#5EA560","#000000"
"Lenovo Tenerife",28,"Lenovo Tenerife","Lenovo Tenerife","LNT","CAN","TEN","https://static.acb.com/img/www/clubes2021/LenovoTenerife-pos-vert.png","#E9CD5F","#000000","#000000"
"MoraBanc Andorra",22,"MoraBanc Andorra","MoraBanc Andorra","MBA","AND","AND","https://static.acb.com/img/43/43/28/75593.png","#0165BA","#EADE72","#EADE72"
"Bitci Baskonia",3,"Baskonia","Baskonia","BKN","BAS","BASK","https://static.acb.com/img/www/clubes2022/logo_bitcibaskonia_pos.png","#C8102E","#373E58","#373E58"
"Unicaja",14,"Unicaja","Unicaja","UNI","UNI","UNI","https://static.acb.com/img/www/clubes2022/Logoescudo_unicaja2.png","#3D9C35","#FFFFFF","#FFFFFF"
"Real Madrid",9,"Real Madrid","Real Madrid","RMB","RMA","RMB","https://static.acb.com/img/20/22/3d/75629.png","#FFFFFF","#FFFFFF","#FFFFFF"
"Surne Bilbao Basket",4,"Surne Bilbao Basket","Bilbao Basket","SBB","BLB","BBB","https://static.acb.com/img/www/clubes2022/logo_surnebb_pos.png","#000000","#000000","#000000"
